Teks,Label
Loh kok belum pakai nomor Indosatmu? Pake dong utk telp/sms/internetan nanti otomatis kamu akan dpt 250menit+250SMS+250MB bneraan deh,2
"PT.UNIVERSAL
hadir memberikan pnghasilan
tmbahan setiap minggu dengan 
profit 15 s/d 30% dengan kontrak 5hri
https://wa.me/62816236201
web:www.investasiuf.com
",2
"ASS...BPK/IBU
kami menawarkan pnjamn
berbasis,Onl1ne Bnga 2%
tenor 1/5 thn,Min 5jt-500jt
WHATSAPP>>082332319457
",1
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"ASS.YTH BPK/IBU
kami Mnawarkan pnjaman
online Min 5-50jt bnga 2%
tenor 1 thun/ 5 thn chat ke
WA 085232333932",1
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Assalamu Alaikum BPK/IBU Mohon maaf mengganggu waktunya,Jika Butuh MODAL Usaha Dan Lain-lain nya,Silahkan chat kami ke WA: 0852-5562-9342 ",1
"Assalamu Alaikum BPK/IBU Mohon maaf mengganggu waktunya,Jika Butuh MODAL Usaha Dan Lain-lain nya,Silahkan chat kami ke WA: 0852-5562-9342 ",1
PESAN RESMI SHOPEE No.Anda Resmi Mendapat Hadiah Ke-2 Cek Tunai Rp.175jt Pin Pemenang 25F4777 U/Info Klik https://bit.ly/untung57,1
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
SUPER PROMO UNTIL 28 FEB(sisa 2 hari) BUY 2 GET 4 READY MADE SHIRT BUY 2 GET 3 CUSTOM MADE SHIRT @KARUIZAWA SHIRT MOI CENTRAL GI METRO PIM/SBY AEON BSD/JGC/STL,2
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"inforesmi INDONESIA GIVE AWAY
slamat anda mendptkan HADIAH 150JT
DARI BAPAU FAMILY untuk info silahkan 
chat WA:0822-1730-5879",1
"Selamat Anda Menang !!!
GIVE AWAY KEDAS BEAUTY
PIN ANDA CK805KU
Hadiah Rp.100jt.
U/info klik:
https://wa.me/c/6285656870647
CHAT WA:085656870647.",1
"Maaf mengganggu waktunya
mba/mas kami menawarkan
pinjaman online dengan bunga 02%
jika minat wa 082191250736",1
"INFO BPJS
kpd YTH bapak/ibu
anda menerima dana
bantuan BPJS PUSAT
Untuk info cek di:
http:www.danabpjs2021.cf/",1
"[Hanya sampai besok]
Dapat Kuota BESAR
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"INDONESA GIVE AWAY
Selamat anda mendapatkan
HADIAH 50JT DARI BAPAU
WHATSAAP 0821-8774-1348",1
"Anda terp!l!h
sebagai Pmenang
cek Rp.175.jt
(Shop mantul sale)
ID 25F4777
U/1nf0 klik :
bit.ly/rejeki-bigsale2021",1
Pelanggan Yth. Sejak 11/03/2021 Anda Memiliki +1000 KOIN PULSA. Silakan Hub *858*66# untuk SEGERA Ambil Kembali. Bisa Tukar Pulsa. Hangus Dlm 15 Menit! *858*66#,2
"Kami dari
KSP Sejahtera Bersama
Menawarkan
PINJAMAN ONLINE
Di Seluruh Indonesia
Mulai 5jt-500jt 
Proses cepat & Mudah
Chat Info:
WA:085333106669",1
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Halo Kak! Aku Winda dari Team Giveaway BAIM WONG
Anda Memenangkan Hadiah Uang 30jt dari kami info klik https://wa.me/+628158726419",1
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Slmt
NO.Anda Resmi
Men-dapatkan Hadiah
Ke-2 Cek Tunai
Rp.175jt Kode ID
pemenang;[WHA012]
U/Info Hadiah
Klik
bit.ly/whatsapp2021jkt21",1
"Selamat...
No.Anda Resmi Meraih
Hadiah Ke-2
Dari Shopee4.4
Rp.175.jt
Pin Pemenang
(25f4777)
U/Info Silahkan
Hub/Chat WA:
081908220567


",1
"Slmt
NO.Anda Resmi
Men-dapatkan Hadiah
Ke-2 Cek Tunai
Rp.175jt Kode ID
pemenang;[WHA012]
U/Info Hadiah
Klik
bit.ly/whatsapp2021jkt21",1
"Slmt
NO.Anda Resmi
Men-dapatkan Hadiah
Ke-2 Cek Tunai
Rp.175jt Kode ID
pemenang;[WHA012]
U/Info Hadiah
Klik
bit.ly/whatsapp2021jkt21",1
"Ass,Bpk/Ibu
Bagi Masyarakat Butuh
Modal Dan Lain Lain
Syarat Lengkap
Min 5jt-500jt
Bunga 4%
Untuk Info
WhatsApp 
+6285248389191",1
"Mau streaming video tapi kehabisan kuota? Yuk aktifkan Paket Darurat di *505# atau di MyTelkomsel. PAKAI DULU, BAYAR NANTI otomatis saat isi ulang pulsa.",2
"Yth. peserta BPJS Anda terpilih sebagai penerima BLT (Bantuan langsung tunai) Rp.15jt u/ info WA:085845200790
",1
PROMO NSP Rp 0/7hr! bls SMS ketik YA utk langganan NSP Katanya Aku Sexy-Vita Alvia. Info: tsel.me/nsp. CS: 188,2
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
PROMO NSP Rp 0/7hr! bls SMS ketik YA utk langganan NSP Banyak Hutang-Komeng. Info: tsel.me/nsp. CS: 188,2
"INFO PINJ4M4N D4N4 ONLINE
PROSES MUD4H/CEP4T,
PINJAMAN MINIM4L 5JT S/D
500JT,
BUNG4 RENDAH 2% THN
MINAT WHATSAAPP.
082290101654 ",1
"Kami dari
KSP Sejahtera Bersama
Menawarkan
PINJAMAN ONLINE
Di Seluruh Indonesia
Mulai 5jt-500jt 
Proses cepat & Mudah
Chat Info:
WA:085333106669",1
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Paket kuota besar spesial untukmu
1. 2GB, 4rb/3hr
2. 6GB, 18rb/30hr
3. Diskon Freedom U (Unlimited)
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
BELI 1 GRATIS 1 PIZZA / PASTA! Berlaku hanya hari ini ( Dine-in ). Tukar SMS ini sekarang di Pizza Marzano Aeon Mall BSD.,2
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
"Kuotanya makin gede, harganya pas di kantong
1. 2GB, 4rb/3hr
2. 2GB, 10rb/30hr
3. 15GB, 40rb/30hr
mau yg lain? cek di *123*60#
atau bit.ly/m3mkd",2
Loh kok belum pakai nomor Indosatmu? Pake dong utk telp/sms/internetan nanti otomatis kamu akan dpt 250menit+250SMS+250MB bneraan deh,2
"Spesial untuk silaturahmi tanpa henti
1. Sahur 14,42GB, 8rb/15hr
2. 1,5GB, 4rb/3hr
3. 17GB, 40rb
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"ass...
butuh p1njaman d4na
t4npa agunan???
5jta s/d 500jta
U/info chat
WhatsApp:0816269400",1
Fatwa MUI menyatakan vaksinasi COVID-19 tidak batalkan ibadah puasa. Siapkan diri dengan istirahat cukup dan sahur dengan makanan gizi seimbang. covid19.go.id,2
"Spesial untuk silaturahmi tanpa henti
1. Sahur 14,42GB, 8rb/15hr
2. 1,5GB, 4rb/3hr
3. 17GB, 40rb
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"Di bulan yang baik ini, nikmati berbagai berkah
1. 1,5GB, 4rb/3hr
2. 6GB, 18rb
3. Diskon Freedom U (Unlimited)
mau yg lain? cek *123*60#
atau bit.ly/m3mkd",2
"Spesial untuk silaturahmi tanpa henti
1. Sahur 14,42GB, 8rb/15hr
2. 1,5GB, 4rb/3hr
3. 17GB, 40rb
masih ada yg lain, beli di *123*60#
atau bit.ly/m3mkd",2
"BTUH BIAYA TMBHAN UMTUK
MDAL USAHA DLL U/INFO
100% AMAN & AMANAH
WA 082353247248",1
"INFO PINJ4M4N D4N4 ONLINE
PROSES MUD4H /CEP4T,
PINJ4M4N MINIM4L 5JT S/D 500JT
BUNG4 REND4H 2% THN
MINAT WHATSAPP.
085314755050
",1
